pmid,title,journal,pubdate,query_families,keyword_domains,priority_score,candidate_status
39268001,Transcriptome dynamics in Artemisia annua provides new insights into cold adaptation and de-adaptation.,Frontiers in plant science,2024,biosynthesis_genes;genomics_phylogenomics,genomics,2,title_priority_only
39421297,Characterization of the complete chloroplast genome sequence of Artemisia sylvatica Maximowicz 1859 (Asteraceae).,"Mitochondrial DNA. Part B, Resources",2024,genomics_phylogenomics,genomics,2,title_priority_only
39669181,"Phytochemical profiling and in silico evaluation of Artemisia absinthium compounds targeting Leishmania N-myristoyltransferase: molecular docking, drug-likeness, and toxicity analyses.",Frontiers in chemistry,2024,antiparasitic;safety,phenotype,2,title_priority_only
39717220,"Chemical composition, antimicrobial, and antioxidant properties of essential oils from Artemisia herba-alba asso. and Artemisia huguetii caball. from Morocco: in vitro and in silico evaluation.",Frontiers in chemistry,2024,terpene_essential_oil;safety,chemistry,2,title_priority_only
38205667,Insight gained via ultra-performance liquid chromatography tandem mass spectrometry-based metabolomics: Protective effect of Artemisia argyi H.Lév. & Vaniot essential oil on lipopolysaccharide-induced liver injury mice.,Biomedical chromatography : BMC,2024 Apr,terpene_essential_oil;biosynthesis_genes,chemistry,2,title_priority_only
38281703,Eudesmane sesquiterpenoids with inhibitory effects on NO production from Artemisia princeps.,Phytochemistry,2024 Apr,terpene_essential_oil,chemistry,2,title_priority_only
38561770,In vivo assessment of the antiparasitic effects of Allium sativum L. and Artemisia absinthium L. against gastrointestinal parasites in swine from low-input farms.,BMC veterinary research,2024 Apr 1,sesquiterpene_lactone;diterpene_triterpene;antiparasitic,phenotype,2,title_priority_only
38975956,"De novo genome assembly of endophytic fungus Nemania diffusa strain YAFEF818, isolated from Artemisia argyi.",Microbiology resource announcements,2024 Aug 13,genomics_phylogenomics,genomics,2,title_priority_only
38008924,"Chemical composition, antioxidative and antimicrobial activities of essential oil of wild Artemisia annua from Ningxia, China.",Natural product research,2024 Dec,terpene_essential_oil,chemistry,2,title_priority_only
39240164,New Chlorine-Containing Sesquiterpenoid from Artemisia Blepharolepis.,Chemistry & biodiversity,2024 Dec,terpene_essential_oil,chemistry,2,title_priority_only
39362503,Germacrane-type sesquiterpenes from Artemisia atrovirens and their anti-inflammatory activity.,Fitoterapia,2024 Dec,terpene_essential_oil;biosynthesis_genes,chemistry,2,title_priority_only
39471916,Dynamic interactions and inhibitory mechanisms of Artemisia annua terpenoids with carbonic anhydrase IX.,International journal of biological macromolecules,2024 Dec,terpene_essential_oil;biosynthesis_genes;safety,chemistry,2,title_priority_only
