pmid,title,query_families,keyword_domains,abstract_priority_score,manual_status,abstract_status
24055519,"Sesquiterpene dimer (DSF-52) from Artemisia argyi inhibits microglia-mediated neuroinflammation via suppression of NF-κB, JNK/p38 MAPKs and Jak2/Stat3 signaling pathways.",terpene_essential_oil;biosynthesis_genes,chemistry;primary_methods,3,pending_manual_review,retrieved
24074293,Antinociceptive effect of the essential oil of tarragon (Artemisia dracunculus).,terpene_essential_oil;safety,chemistry;safety,3,pending_manual_review,retrieved
24114336,Acaricidal activities of bicyclic monoterpene ketones from Artemisia iwayomogi against Dermatophagoides spp.,terpene_essential_oil,chemistry;primary_methods,3,pending_manual_review,retrieved
24329606,Metabolic analysis of the increased adventitious rooting mutant of Artemisia annua reveals a role for the plant monoterpene borneol in adventitious root formation.,terpene_essential_oil;biosynthesis_genes,chemistry;primary_methods,3,pending_manual_review,retrieved
24558335,Evaluation of in vitro antimalarial activity of different extracts of Artemisia aucheri Boiss. and A. armeniaca Lam. and fractions of the most potent extracts.,biosynthesis_genes;antiparasitic,antiparasitic;primary_methods,3,pending_manual_review,retrieved
24624191,Comparison Between in Vitro Effects of Aqueous Extract of Artemisia seiberi and Artemisinin on Leishmania major.,sesquiterpene_lactone,antiparasitic;primary_methods,3,pending_manual_review,retrieved
24629804,Effects of overexpression of AaWRKY1 on artemisinin biosynthesis in transgenic Artemisia annua plants.,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;genomics_phylogenomics;antiparasitic,genomics;primary_methods,3,pending_manual_review,retrieved
24661969,Pharmacokinetics of artemisinin delivered by oral consumption of Artemisia annua dried leaves in healthy vs. Plasmodium chabaudi-infected mice.,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;antiparasitic;safety,antiparasitic;safety,3,pending_manual_review,retrieved
24802864,Anthelmintic activity of Artemisia annua L. extracts in vitro and the effect of an aqueous extract and artemisinin in sheep naturally infected with gastrointestinal nematodes.,sesquiterpene_lactone;antiparasitic,antiparasitic;primary_methods,3,pending_manual_review,retrieved
24914301,Optimization of genetic transformation of Artemisia annua L. Using Agrobacterium for Artemisinin production.,sesquiterpene_lactone,chemistry;primary_methods,3,pending_manual_review,retrieved
24969234,"Cloning and characterization of AabHLH1, a bHLH transcription factor that positively regulates artemisinin biosynthesis in Artemisia annua.",terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;genomics_phylogenomics;antiparasitic,genomics;primary_methods,3,pending_manual_review,retrieved
25020192,In vitro immunomodulatory properties of a sesquiterpene lactone-bearing fraction from Artemisia khorassanica.,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes,chemistry;primary_methods,3,pending_manual_review,retrieved
25027867,In vitro evidence that the pastoral Artemisia campestris species exerts an anthelmintic effect on Haemonchus contortus from sheep.,antiparasitic,antiparasitic;primary_methods,3,pending_manual_review,retrieved
25037681,Dimeric guaianolides from Artemisia absinthium.,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes,chemistry;primary_methods,3,pending_manual_review,retrieved
25040292,Overexpression of artemisinic aldehyde Δ11 (13) reductase gene-enhanced artemisinin and its relative metabolite biosynthesis in transgenic Artemisia annua L.,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;genomics_phylogenomics;antiparasitic,genomics;primary_methods,3,pending_manual_review,retrieved
25050264,Investigating contact toxicity of Geranium and Artemisia essential oils on Bemisia tabaci Gen.,terpene_essential_oil;safety,chemistry;safety,3,pending_manual_review,retrieved
25050286,The effects of Artemisia aucheri extract on hepatotoxicity induced by thioacetamide in male rats.,terpene_essential_oil,chemistry;safety,3,pending_manual_review,retrieved
25065946,Artemisia annua L.: evidence of sesquiterpene lactones' fraction antinociceptive activity.,terpene_essential_oil;sesquiterpene_lactone;antiparasitic,chemistry;primary_methods,3,pending_manual_review,retrieved
25090687,[Essential oil from Artemisia lavandulaefolia induces apoptosis and necrosis of HeLa cells].,terpene_essential_oil;biosynthesis_genes,chemistry;primary_methods,3,pending_manual_review,retrieved
25127164,"Rupestonic acids B-G, NO inhibitory sesquiterpenoids from Artemisia rupestris.",terpene_essential_oil;biosynthesis_genes,chemistry;primary_methods,3,pending_manual_review,retrieved
25176187,New guaiane sesquiterpenes from Artemisia rupestris and their inhibitory effects on nitric oxide production.,terpene_essential_oil;biosynthesis_genes,chemistry;primary_methods,3,pending_manual_review,retrieved
25366131,Arbuscular mycorrhiza increase artemisinin accumulation in Artemisia annua by higher expression of key biosynthesis genes via enhanced jasmonic acid levels.,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;antiparasitic,genomics;primary_methods,3,pending_manual_review,retrieved
25541045,Highly oxygenated sesquiterpenes in Artemisia alba Turra.,terpene_essential_oil,chemistry;primary_methods,3,pending_manual_review,retrieved
25770648,The antifungal activity of Artemisia sieberi essential oil from different localities of Iran against dermatophyte fungi.,terpene_essential_oil;safety,chemistry;safety,3,pending_manual_review,retrieved
25870149,TRICHOME AND ARTEMISININ REGULATOR 1 Is Required for Trichome Development and Artemisinin Biosynthesis in Artemisia annua.,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;genomics_phylogenomics;antiparasitic,genomics;primary_methods,3,pending_manual_review,retrieved
25885940,Chemical composition and acetylcholinesterase inhibitory activity of Artemisia maderaspatana essential oil.,terpene_essential_oil;biosynthesis_genes,chemistry;primary_methods,3,pending_manual_review,retrieved
25901169,Screening of different extracts from artemisia species for their potential antimalarial activity.,antiparasitic,antiparasitic;primary_methods,3,pending_manual_review,retrieved
26194429,Anthelmintic activity of Artemisia vestita Wall ex DC. and Artemisia maritima L. against Haemonchus contortus from sheep.,antiparasitic,antiparasitic;primary_methods,3,pending_manual_review,retrieved
26196123,Comparative Phytochemical Analysis of Essential Oils from Different Biological Parts of Artemisia herba alba and Their Cytotoxic Effect on Cancer Cells.,terpene_essential_oil;biosynthesis_genes,chemistry;safety,3,pending_manual_review,retrieved
26343516,"Essential oil composition and biological activity from Artemisia caerulescens subsp. densiflora (Viv.) Gamisans ex Kerguélen & Lambinon (Asteraceae), an endemic species in the habitat of La Maddalena Archipelago.",terpene_essential_oil,chemistry;safety,3,pending_manual_review,retrieved
26425275,Protective effects of Artemisia arborescens essential oil on oestroprogestative treatment induced hepatotoxicity.,terpene_essential_oil,chemistry;safety,3,pending_manual_review,retrieved
26434144,Essential Oil Composition and Antigermination Activity of Artemisia dracunculus (Tarragon).,terpene_essential_oil,chemistry;primary_methods,3,pending_manual_review,retrieved
26460560,Chemical Composition and Antipathogenic Activity of Artemisia annua Essential Oil from Romania.,terpene_essential_oil,chemistry;primary_methods,3,pending_manual_review,retrieved
26651523,New sesquiterpene and thiophene derivatives from Artemisia rupestris.,terpene_essential_oil;biosynthesis_genes,chemistry;primary_methods,3,pending_manual_review,retrieved
26691254,Anthelmintic properties of extracts from Artemisia plants against nematodes.,antiparasitic,antiparasitic;primary_methods,3,pending_manual_review,retrieved
26692746,"Seasonal variation in the chemical composition, antioxidant activity, and total phenolic content of Artemisia absinthium essential oils.",terpene_essential_oil,chemistry;primary_methods,3,pending_manual_review,retrieved
26696523,Nitric Oxide Inhibitory Dimeric Sesquiterpenoids from Artemisia rupestris.,terpene_essential_oil;biosynthesis_genes,chemistry;primary_methods,3,pending_manual_review,retrieved
26709305,Analysis of the major chiral compounds of Artemisia herba-alba essential oils (EOs) using reconstructed vibrational circular dichroism (VCD) spectra: En route to a VCD chiral signature of EOs.,terpene_essential_oil;safety,chemistry;safety,3,pending_manual_review,retrieved
26752994,Sequence characterized amplified region marker as a tool for selection of high-artemisinin containing species of Artemisia.,sesquiterpene_lactone;antiparasitic,antiparasitic;primary_methods,3,pending_manual_review,retrieved
26792321,Antinociceptive activity of the essential oil from Artemisia ludoviciana.,terpene_essential_oil,chemistry;primary_methods,3,pending_manual_review,retrieved
